time_gt_data,x_gt_data,y_gt_data,time_est_data,x_est_data,y_est_data
1.744849482616885e9,-91.66394969821863,-9.001254676607976,1.744849482616951e9,-93.4698014685829,-37.50933462227256
1.744849482819662e9,-91.66394969819834,-9.001254676617744,1.7448494828197e9,-93.4698014685829,-37.50933462227256
1.744849483020798e9,-91.6639496981805,-9.001254676623855,1.744849483020823e9,-90.14543036139955,-33.10170712365408
1.744849483221706e9,-91.66394969816368,-9.001254676628678,1.744849483221736e9,-90.14543036139955,-33.10170712365408
1.744849483422741e9,-91.66394969815158,-9.00125467663187,1.744849483422767e9,-89.95189105408211,-31.097911605537394
1.744849484149008e9,-91.66394969812947,-9.001254676638185,1.744849484149051e9,-93.41567544290663,-30.58714431137606
1.744849484352145e9,-91.6639496981265,-9.001254676638943,1.744849484352184e9,-90.0478436589229,-30.42237789267497
1.744849485261584e9,-91.6639496981265,-9.001254676640327,1.744849485261612e9,-93.74107816027161,-30.42689545096396
1.744849485463724e9,-91.6639496981265,-9.001254676640327,1.74484948546375e9,-93.74107816027161,-30.42689545096396
1.744849486170799e9,-91.6639496981265,-9.001254676640327,1.744849486170825e9,-96.43651197918187,-29.43816031426063
1.744849486371805e9,-91.6639496981265,-9.001254676640327,1.744849486371834e9,-96.43651197918187,-29.43816031426063
1.744849486574678e9,-91.6639496981265,-9.001254676640327,1.744849486574704e9,-95.4882889055578,-28.131006612134975
1.744849487178877e9,-91.6639496981265,-9.001254676640327,1.744849487178911e9,-98.0243673357148,-27.471256378519403
1.744849487520672e9,-91.6639496981265,-9.001254676640327,1.744849487520697e9,-104.26319252086172,-28.116181908207228
1.744849487722756e9,-91.6639496981265,-9.001254676640327,1.744849487722787e9,-104.26319252086172,-28.116181908207228
1.74484948792376e9,-91.6639496981265,-9.001254676640327,1.744849487923802e9,-103.70597761407446,-25.649964415517267
1.744849488127848e9,-91.6639496981265,-9.001254676640327,1.744849488127924e9,-103.70597761407446,-25.649964415517267
1.744849488330342e9,-91.6639496981265,-9.001254676640327,1.744849488330368e9,-104.80263095919439,-24.381529314893804
1.744849488837286e9,-91.6639496981265,-9.001254676640327,1.744849488837316e9,-108.69804182452386,-25.006446192594503
1.744849489135735e9,-91.6639496981265,-9.001254676640327,1.744849489135779e9,-108.69804182452386,-25.006446192594503
1.744849489336936e9,-91.6639496981265,-9.001254676640327,1.744849489336963e9,-106.62572369522944,-21.629307596901278
1.744849489742703e9,-91.6639496981265,-9.001254676640327,1.744849489742792e9,-106.14824980142262,-19.363497012382542
1.744849489945903e9,-91.6639496981265,-9.001254676640327,1.744849489945927e9,-106.14824980142262,-19.363497012382542
1.744849496742802e9,-91.6639496981265,-9.001254676640327,1.744849496742829e9,-90.95279179813333,32.19306600618281
