time_gt_data,x_gt_data,y_gt_data,time_est_data,x_est_data,y_est_data,vel_gt_data,vel_est_data,heading_gt_data,heading_est_data,angular_vel_gt_data,angular_vel_est_data
1.74486131416913e9,-91.6639496982123,-9.001254676534787,1.74486131416919e9,-90.03004521192821,-25.229125424794923,1.5774949074990693e-9,0.0,1.5707887778296268,1.5707887778373173,1.138125137880206e-10,0.0
1.744861314398311e9,-91.66394969823678,-9.001254676570975,1.744861314398391e9,-90.02266455553759,-25.229125380276052,9.044866585219376e-10,0.0007558838347524277,1.5707887778272123,1.5707887778373173,1.0920664042580841e-10,0.0
1.744861315109254e9,-91.6639496981863,-9.001254676621926,1.744861315109287e9,-90.02243431572482,-25.22912539347876,1.7408001639366592e-10,0.0007476099053619026,1.57078877782419,1.5707887630762425,5.110974551385217e-11,0.0
1.744861315311933e9,-91.66394969816957,-9.00125467662699,1.744861315311966e9,-90.02243431572482,-25.22912539347876,1.3866416743148243e-10,0.0007476099053619026,1.5707887778240799,1.5707887630762425,3.820528467967034e-11,0.0
1.744861315515149e9,-91.66394969815585,-9.001254676630733,1.744861315515184e9,-90.02204388146302,-25.229125393929543,8.801244675527426e-11,0.0006945702054936024,1.5707887778240754,1.5707884222297805,2.6432352493981014e-11,0.0
1.744861316007788e9,-91.6639496981348,-9.001254676636416,1.744861316007813e9,-90.02203641729342,-25.229125394863154,2.7678876450560548e-11,0.0006714368819423428,1.5707887778242238,1.570788250652433,7.607991514608233e-12,0.0
1.744861316312027e9,-91.66394969812961,-9.001254676638132,1.744861316312053e9,-90.02203641729342,-25.229125394863154,1.74507092129562e-11,0.0006714368819423428,1.570788777824306,1.570788250652433,2.8954982247661257e-12,0.0
1.744861316950914e9,-91.6639496981265,-9.001254676639883,1.744861316950944e9,-90.02175029473018,-25.229125394513098,1.7230207601928231e-12,0.0005646435456899964,1.5707887778243608,1.5707873814869753,6.170224378285238e-13,0.0
1.744861317156625e9,-91.6639496981265,-9.001254676640235,1.744861317156661e9,-90.02175029473018,-25.229125394513098,1.2515316760629479e-12,0.0005646435456899964,1.5707887778243619,1.5707873814869753,7.487151381609699e-13,0.0
1.744861317460152e9,-91.6639496981265,-9.001254676640327,1.744861317460176e9,-90.02175029473018,-25.229125394513098,1.2589004378822482e-12,0.0005646435456899964,1.570788777824363,1.5707873814869753,6.707921448404163e-13,0.0
1.744861317663119e9,-91.6639496981265,-9.001254676640327,1.744861317663145e9,-90.02175029473018,-25.229125394513098,1.0195843560794401e-12,0.0005646435456899964,1.5707887778243634,1.5707873814869753,5.388545536117097e-13,0.0
1.744861317865133e9,-91.6639496981265,-9.001254676640327,1.744861317865173e9,-90.02172203286617,-25.229125395569156,8.389844913349918e-13,0.00044701069423054,1.570788777824364,1.5707865407898087,4.1203863115087696e-13,0.0
1.744861318274306e9,-91.6639496981265,-9.001254676640327,1.744861318274337e9,-90.02179702225169,-25.22912539641715,5.478887815238378e-13,0.0004044454313638653,1.5707887778243639,1.5707862681610865,2.0797787482197095e-13,0.0
1.744861318579117e9,-91.6639496981265,-9.001254676640327,1.744861318579143e9,-90.02179702225169,-25.22912539641715,5.527610625162949e-13,0.0004044454313638653,1.570788777824364,1.5707862681610865,2.1872014740668214e-13,0.0
1.744861318780473e9,-91.6639496981265,-9.001254676640327,1.744861318780573e9,-90.02172712118919,-25.229125396423267,5.546303740449393e-13,0.0003461339955063689,1.5707887778243645,1.5707859966365023,2.081818969428044e-13,0.0
1.74486131898579e9,-91.6639496981265,-9.001254676640327,1.744861318985818e9,-90.02172712118919,-25.229125396423267,5.744552193364819e-13,0.0003461339955063689,1.570788777824364,1.5707859966365023,2.091624296726072e-13,0.0
1.744861319421106e9,-91.6639496981265,-9.001254676640327,1.744861319421151e9,-90.02189666054961,-25.229125397874768,6.007968763059103e-13,0.00026235976092734976,1.570788777824364,1.570785677207985,2.1459552342293352e-13,0.0
1.744861319725303e9,-91.6639496981265,-9.001254676640327,1.744861319725331e9,-90.02189666054961,-25.229125397874768,6.047238500083534e-13,0.00026235976092734976,1.5707887778243643,1.570785677207985,2.099253564793659e-13,0.0
1.744861319929077e9,-91.6639496981265,-9.001254676640327,1.744861319929102e9,-90.02189666054961,-25.229125397874768,6.110049143190814e-13,0.00026235976092734976,1.5707887778243643,1.570785677207985,2.1402920245644348e-13,0.0
1.744861320139324e9,-91.6639496981265,-9.001254676640327,1.744861320139354e9,-90.02197541911558,-25.229125398695636,6.229712190033002e-13,0.00017685598215677227,1.5707887778243643,1.5707855604886214,2.2010094439945732e-13,0.0
1.744861320342125e9,-91.6639496981265,-9.001254676640327,1.744861320342205e9,-90.02197541911558,-25.229125398695636,6.174463930269071e-13,0.00017685598215677227,1.5707887778243643,1.5707855604886214,2.1157592822934529e-13,0.0
1.744861320746736e9,-91.6639496981265,-9.001254676640327,1.744861320746767e9,-90.02210417457452,-25.2291253995654,6.207848326125946e-13,0.0001226956177230391,1.5707887778243643,1.5707855463250757,2.1475208627946033e-13,0.0
1.744861320949066e9,-91.6639496981265,-9.001254676640327,1.744861320949092e9,-90.02219403515684,-25.22912540015993,6.248075790139144e-13,8.324943989057968e-5,1.5707887778243643,1.5707855821115886,2.1650963402295205e-13,0.0
1.744861321154684e9,-91.66394968307655,-8.996394809309418,1.744861321154762e9,-90.02219403515684,-25.22912540015993,0.12364387516358331,8.324943989057968e-5,1.5707880959721876,1.5707855821115886,0.015544493582352853,0.0
1.744861321458349e9,-91.66394984175798,-8.879028203739946,1.744861321458403e9,-90.02219403515684,-25.22912540015993,0.5214163534638129,8.324943989057968e-5,1.5707754407338654,1.5707855821115886,0.01406371923087096,0.0
1.744861321661092e9,-91.66395023557699,-8.76284274325604,1.744861321661154e9,-90.02219403515684,-25.22912540015993,0.6621261544332203,8.324943989057968e-5,1.5707676931534937,1.5707855821115886,0.0006514347591516441,0.0
1.744861321864808e9,-91.66394994337767,-8.612052345766042,1.744861321864833e9,-90.02226137368878,-25.229125400663115,0.767316557550372,4.142818255559771e-5,1.5707621392985738,1.5707856920232801,0.007100230281817981,0.0
1.744861322067112e9,-91.66394816249706,-8.453779216557814,1.744861322067161e9,-90.02226137368878,-25.229125400663115,0.8354821776919724,4.142818255559771e-5,1.5707594623634693,1.5707856920232801,0.0090049557856766,0.0
1.744861322270237e9,-91.6639446124321,-8.281552026936723,1.74486132227029e9,-90.02249007402798,-25.22912540156053,0.8839272474101808,3.0489048655809375e-5,1.5707584151435454,1.5707859193591278,0.008204128319820283,0.0
1.744861323256921e9,-91.66390436213005,-7.13354990022825,1.744861323256971e9,-90.02281247692588,-25.04641306788895,1.6466636999486493,0.055769967050057934,1.570737618979225,1.5705478478777468,0.001736142793663053,0.0
1.744861323460324e9,-91.6638858462677,-6.715554090830495,1.744861323460349e9,-90.02281247692588,-25.04641306788895,1.7704476312940196,0.055769967050057934,1.570731807773308,1.5705478478777468,0.009065982610194718,0.0
1.744861323663202e9,-91.66386796436208,-6.368979214942585,1.744861323663226e9,-90.02309281525554,-24.62059061726279,1.8359502806243537,0.17419888708954498,1.570729711122266,1.5923879401857883,0.00980354439790735,0.0
1.744861323866303e9,-91.66384502149695,-5.9721858268980546,1.744861323866334e9,-90.02309281525554,-24.62059061726279,1.886632927055311,0.17419888708954498,1.570728950593145,1.5923879401857883,0.00831435684053136,0.0
1.744861324168324e9,-91.66381013566587,-5.420712289602211,1.744861324168351e9,-90.02309281525554,-24.62059061726279,1.993895932727283,0.17419888708954498,1.5707289139286642,1.5923879401857883,0.0031835610127055464,0.0
1.744861324370542e9,-91.66378146713765,-4.986298785546509,1.744861324370597e9,-90.02309281525554,-24.62059061726279,2.2911759185871685,0.17419888708954498,1.5707238953825873,1.5923879401857883,0.021234524545262083,0.0
1.744861324573803e9,-91.66374526296431,-4.452621153961721,1.744861324573845e9,-90.02309281525554,-24.62059061726279,2.674185702607398,0.17419888708954498,1.57071361328487,1.5923879401857883,0.027775636164438042,0.0
1.744861324776031e9,-91.66370586661374,-3.906881121716155,1.744861324776056e9,-90.02365342583944,-23.758892873259526,3.0504431523131936,0.34075820315849764,1.5707000552577817,1.7691444730006214,0.020909569247311695,0.0
1.744861324977219e9,-91.66365146107778,-3.226726777578018,1.744861324977255e9,-90.02365342583944,-23.758892873259526,3.3476115847521797,0.34075820315849764,1.5706855786880989,1.7691444730006214,0.0008571935211862128,0.0
1.744861325181414e9,-91.66359139120372,-2.5614258390530917,1.744861325181439e9,-90.02384991727536,-23.404640130597684,3.5358112198849567,0.40399437729540427,1.5706763890652589,1.8415211927846464,0.013280665589239751,0.0
1.744861327642195e9,-91.66241375776048,7.0175133402892325,1.744861327642226e9,-90.02674755197808,-18.876727711046584,3.9927805414391178,0.6640951360438786,1.5706714156515347,2.153922224213421,0.00047439801311879864,0.0
1.744861328785307e9,-91.47979836259861,11.6027306072609,1.744861328785332e9,-90.02845602814432,-16.591319815390715,3.96452309950137,0.6635135639654856,1.5133614983381407,2.155350412739794,0.13174981695461044,0.0
1.744861330030369e9,-90.15109782471906,16.774468512738874,1.744861330030403e9,-90.02980676292734,-9.934628881767981,4.770944947725578,1.0157247319599274,1.293339893225387,2.2328127236008624,0.20625688785010082,0.0
1.744861330333497e9,-89.58185506985815,18.13509778566641,1.744861330333522e9,-90.02980676292734,-9.934628881767981,4.8614771816251645,1.0157247319599274,1.2301460363739891,2.2328127236008624,0.2073881302136391,0.0
1.744861330535111e9,-89.18025835918895,18.97612456163387,1.744861330535146e9,-90.02980676292734,-9.934628881767981,4.896073072608872,1.0157247319599274,1.1905665544996127,2.2328127236008624,0.20771190984988785,0.0
1.744861332839986e9,-81.78440656269697,27.647530419680688,1.74486133284003e9,-90.02980676292734,-9.934628881767981,4.9768004992478145,1.0157247319599274,0.7068805194330344,2.2328127236008624,0.20866346674729846,0.0
1.744861333065944e9,-80.88905385502402,28.26019351751028,1.74486133306601e9,-90.02980676292734,-9.934628881767981,4.977260153625221,1.0157247319599274,0.6613916622137085,2.2328127236008624,0.20866604515340864,0.0
1.744861333268455e9,-80.01384684768657,28.803718532341186,1.744861333268484e9,-90.02980676292734,-9.934628881767981,4.977563431478566,1.0157247319599274,0.6181976414656704,2.2328127236008624,0.2086676418355635,0.0
1.744861334857649e9,-73.37870174725865,30.69426884946997,1.744861334857724e9,-90.02980676292734,-9.934628881767981,4.8532284448596394,1.0157247319599274,0.15805520684930377,2.2328127236008624,0.4001416554197934,0.0
1.744861335990555e9,-67.49049249899926,29.018078441725198,1.744861335990608e9,-90.02980676292734,-9.934628881767981,5.002833665873356,1.0157247319599274,-0.3394607320906848,2.2328127236008624,0.3203786105601628,0.0
1.744861336192593e9,-66.54113823146608,28.49665699397214,1.744861336192648e9,-90.02980676292734,-9.934628881767981,5.023188628380731,1.0157247319599274,-0.4033761869943481,2.2328127236008624,0.27892615720480646,0.0
1.744861336496123e9,-65.21713113776657,27.67590894758492,1.744861336496147e9,-90.02980676292734,-9.934628881767981,5.024960673062426,1.0157247319599274,-0.4829965904180471,2.2328127236008624,0.24184322987782447,0.0
1.744861336701151e9,-64.32637514066248,27.0570383788542,1.744861336701194e9,-90.02980676292734,-9.934628881767981,5.01830814088101,1.0157247319599274,-0.5334528777374073,2.2328127236008624,0.2277560026587741,0.0
1.7448613369038e9,-63.54704248026465,26.466500235231234,1.744861336903851e9,-90.02980676292734,-9.934628881767981,5.011036115037425,1.0157247319599274,-0.5770196096457805,2.2328127236008624,0.22015680848465066,0.0
1.744861337113281e9,-62.90710141063194,25.943790880865446,1.744861337113333e9,-90.02980676292734,-9.934628881767981,5.005115057195015,1.0157247319599274,-0.6129769085087223,2.2328127236008624,0.21613038340496302,0.0
