time_gt_data,x_gt_data,y_gt_data,time_est_data,x_est_data,y_est_data,vel_gt_data,vel_est_data,heading_gt_data,heading_est_data,angular_vel_gt_data,angular_vel_est_data
1.744873479314044e9,-91.6639496928231,-9.001254675369749,1.744873479314102e9,-93.44022838071818,-63.85465628744926,1.0721948523904613e-8,0.41044371216241277,1.570788777866799,1.4924885886280428,5.000067855489284e-9,0.0
1.744873479515431e9,-91.66394969442894,-9.001254675724766,1.744873479515458e9,-93.44022838071818,-63.85465628744926,1.9897156412450027e-8,0.41044371216241277,1.5707887778691858,1.4924885886280428,3.2520539812795108e-9,0.0
1.744873479718176e9,-91.6639496958113,-9.001254675954495,1.744873479718207e9,-92.8702160434652,-63.8546986120936,2.2356595833556176e-8,0.5615713176562905,1.5707887778643999,0.2719287207704321,2.556030491129287e-9,0.0
1.744873481437289e9,-91.66394969822596,-9.001254676602565,1.744873481437331e9,-90.14763970314937,-63.83335897328383,1.5615353330883738e-10,0.10781688357953961,1.570788777825168,0.019079504842853475,8.008900416378644e-11,0.0
1.744873481639679e9,-91.66394969820838,-9.00125467661353,1.744873481639769e9,-92.73941900088494,-63.356667060579994,1.3923576342054004e-10,0.315865662828488,1.570788777824546,0.12637600652284,6.606125478071629e-11,0.0
1.744873484003203e9,-91.6639496981265,-9.001254676640327,1.744873484003247e9,-93.34998260394353,-56.00390276145789,1.3019260385727953e-12,0.46298636265712984,1.5707887778243619,0.07728122757312071,7.485555670407141e-13,0.0
1.744873484208469e9,-91.6639496981265,-9.001254676640327,1.744873484208517e9,-93.34998260394353,-56.00390276145789,1.2638500766693373e-12,0.46298636265712984,1.570788777824363,0.07728122757312071,6.740655599808558e-13,0.0
1.744873484408725e9,-91.6639496981265,-9.001254676640327,1.744873484408764e9,-90.0647692877845,-54.196603061213374,1.0253110753366441e-12,1.3892224077862532,1.5707887778243634,0.3850255163001373,5.428022527076323e-13,0.0
1.744873485518998e9,-91.6639496981265,-9.001254676640327,1.744873485519089e9,-90.14058487230326,-53.1871567007562,5.501299705014228e-13,1.2705120805022487,1.570788777824364,-2.7552847021651896,2.1098777553329365e-13,0.0
1.744873485722501e9,-91.6639496981265,-9.001254676640327,1.744873485722566e9,-93.15232835339464,-52.994423231265095,5.760853362725491e-13,0.9271278608276443,1.570788777824364,-0.8659774318781688,2.114278091269055e-13,0.0
1.744873486024736e9,-91.6639496981265,-9.001254676640327,1.744873486024787e9,-93.15232835339464,-52.994423231265095,6.054281367060004e-13,0.9271278608276443,1.570788777824364,-0.8659774318781688,2.2170028487310795e-13,0.0
1.744873486697005e9,-91.6639496981265,-9.001254676640327,1.74487348669709e9,-89.99592851727658,-53.04827575943941,6.122444737139629e-13,0.22272231306300877,1.5707887778243643,3.0355918561203956,2.1482593808721665e-13,0.0
1.744873487210615e9,-91.6639496981265,-9.001254676640327,1.744873487210701e9,-93.4258689580047,-53.057867796415806,6.158431215555525e-13,1.8194195695254722,1.5707887778243643,-3.0504384256244603,2.117233812607558e-13,0.0
1.744873487820613e9,-91.6639496981265,-9.001254676640327,1.744873487820675e9,-90.09219344649362,-52.99959577602996,6.278419834347501e-13,1.0683637340580796,1.5707887778243643,1.5513872187140982,2.1798055483526797e-13,0.0
1.744873488130771e9,-91.6639496981265,-9.001254676640327,1.744873488130822e9,-93.4412683442057,-53.102558160231716,6.357048697016e-13,1.3801825511667374,1.5707887778243643,3.1166385180725036,2.2017739578315374e-13,0.0
1.744873490796851e9,-91.6639496981265,-9.001254676640327,1.744873490796911e9,-90.0235094065344,-53.053923969680646,6.419592623255104e-13,0.5379413269523965,1.5707887778243643,2.977403249606668,2.208575642756686e-13,0.0
1.74487349099879e9,-91.6639496981265,-9.001254676640327,1.744873490998852e9,-90.0235094065344,-53.053923969680646,6.42427817979662e-13,0.5379413269523965,1.5707887778243643,2.977403249606668,2.2121588848160062e-13,0.0
1.744873492311866e9,-91.6639496981265,-9.001254676640327,1.744873492311896e9,-90.04110129929396,-53.025350538870704,6.403234920691908e-13,0.29190822646127507,1.5707887778243643,0.688418727915384,2.1974375629731065e-13,0.0
1.744873492615235e9,-91.6639496981265,-9.001254676640327,1.744873492615263e9,-93.4040951100535,-53.08086440726833,6.394507614588326e-13,1.8021849274761987,1.5707887778243643,2.4562526221778223,2.1939580568846713e-13,0.0
1.744873494378761e9,-91.6639496981265,-9.001254676640327,1.744873494378788e9,-90.00771889908411,-53.00256105222059,6.337305757498786e-13,0.36730311333500837,1.5707887778243643,-2.7197287300489577,2.174530222878156e-13,0.0
1.744873494581022e9,-91.6639496981265,-9.001254676640327,1.744873494581049e9,-89.99435339900383,-53.01160654137132,6.335151369168795e-13,0.11744020343999939,1.5707887778243643,-2.731326372193015,2.1740253944533732e-13,0.0
1.744873494884e9,-91.6639496981265,-9.001254676640327,1.744873494884027e9,-93.4451242018167,-53.022248477734614,6.331359577458653e-13,1.235876102267147,1.5707887778243643,-2.8163066322023576,2.1726303970948579e-13,0.0
1.744873495087951e9,-91.6639496981265,-9.001254676640327,1.744873495087983e9,-93.4451242018167,-53.022248477734614,6.326085119375817e-13,1.235876102267147,1.5707887778243643,-2.8163066322023576,2.1700995293979565e-13,0.0
1.744873495289917e9,-91.6639496981265,-9.001254676640327,1.744873495289949e9,-90.08440510715162,-53.02614888343844,6.321836526467569e-13,0.4353414815931586,1.5707887778243643,0.181538173083172,2.1684553991714976e-13,0.0
