time_gt_data,x_gt_data,y_gt_data,time_est_data,x_est_data,y_est_data
1.744849482616885e9,-91.66394969821863,-9.001254676607976,1.744849482616951e9,-93.25661868274712,-36.446518825970486
1.744849482920761e9,-91.66394969818869,-9.001254676621096,1.744849482920787e9,-93.25661868274712,-36.446518825970486
1.744849483121705e9,-91.66394969817063,-9.001254676626692,1.744849483121732e9,-90.20557355235437,-32.49979495755552
1.744849483322666e9,-91.6639496981571,-9.001254676630381,1.744849483322693e9,-90.20557355235437,-32.49979495755552
1.744849483523709e9,-91.66394969814655,-9.001254676633176,1.744849483523735e9,-89.9370248744601,-30.950215523890584
1.744849483744648e9,-91.66394969813796,-9.001254676635517,1.744849483744675e9,-89.9370248744601,-30.950215523890584
1.744849484250017e9,-91.6639496981281,-9.001254676638535,1.74484948425007e9,-93.39518659372891,-30.570703439244852
1.744849484454025e9,-91.6639496981265,-9.0012546766392,1.744849484454055e9,-90.0441028172613,-30.3687707682732
1.744849485160968e9,-91.6639496981265,-9.001254676640327,1.744849485161014e9,-93.08432666601082,-30.373150648149842
1.744849485362585e9,-91.6639496981265,-9.001254676640327,1.744849485362614e9,-93.98291149606165,-30.376760806333337
1.744849486270806e9,-91.6639496981265,-9.001254676640327,1.744849486270833e9,-96.98407215885041,-29.227086647841784
1.744849486472901e9,-91.6639496981265,-9.001254676640327,1.744849486472929e9,-96.98407215885041,-29.227086647841784
1.744849487420508e9,-91.6639496981265,-9.001254676640327,1.744849487420538e9,-102.52406992446183,-28.518471995275767
1.744849487621995e9,-91.6639496981265,-9.001254676640327,1.744849487622019e9,-104.78832511678252,-28.001029243823734
1.744849487822804e9,-91.6639496981265,-9.001254676640327,1.744849487822833e9,-104.78832511678252,-28.001029243823734
1.7448494880253e9,-91.6639496981265,-9.001254676640327,1.744849488025384e9,-103.23321367237291,-25.880118952532968
1.744849488229685e9,-91.6639496981265,-9.001254676640327,1.744849488229724e9,-104.52228174121953,-24.704014705484052
1.744849488433312e9,-91.6639496981265,-9.001254676640327,1.744849488433366e9,-104.52228174121953,-24.704014705484052
1.744849488735814e9,-91.6639496981265,-9.001254676640327,1.744849488735845e9,-108.49593282598855,-25.318387988993905
1.74484948903471e9,-91.6639496981265,-9.001254676640327,1.744849489034756e9,-108.49593282598855,-25.318387988993905
1.744849489235783e9,-91.6639496981265,-9.001254676640327,1.744849489235819e9,-106.46821457949139,-21.820607489597403
1.744849489437287e9,-91.6639496981265,-9.001254676640327,1.744849489437316e9,-106.46821457949139,-21.820607489597403
1.744849496439866e9,-91.6639496981265,-9.001254676640327,1.744849496439892e9,-95.65513834338623,26.79818251883486
