time_gt_data,x_gt_data,y_gt_data,time_est_data,x_est_data,y_est_data,vel_gt_data,vel_est_data,heading_gt_data,heading_est_data,angular_vel_gt_data,angular_vel_est_data
1.74486131416913e9,-91.6639496982123,-9.001254676534787,1.74486131416919e9,-90.02272576635359,-25.228835977213702,1.5774949074990693e-9,0.00216066828692768,1.5707887778296268,1.5707890282716175,1.138125137880206e-10,0.0
1.744861314398311e9,-91.66394969823678,-9.001254676570975,1.744861314398391e9,-90.02272576635359,-25.228835977213702,9.044866585219376e-10,0.00216066828692768,1.5707887778272123,1.5707890282716175,1.0920664042580841e-10,0.0
1.744861315109254e9,-91.6639496981863,-9.001254676621926,1.744861315109287e9,-90.02244062456681,-25.229293060550102,1.7408001639366592e-10,0.0020806308128806894,1.57078877782419,1.5707883760799504,5.110974551385217e-11,0.0
1.744861315311933e9,-91.66394969816957,-9.00125467662699,1.744861315311966e9,-90.02244062456681,-25.229293060550102,1.3866416743148243e-10,0.0020806308128806894,1.5707887778240799,1.5707883760799504,3.820528467967034e-11,0.0
1.744861315515149e9,-91.66394969815585,-9.001254676630733,1.744861315515184e9,-90.02227787956504,-25.229553940197185,8.801244675527426e-11,0.0010126368971661295,1.5707887778240754,1.570779040729922,2.6432352493981014e-11,0.0
1.744861316007788e9,-91.6639496981348,-9.001254676636416,1.744861316007813e9,-90.02245510107738,-25.229269855340938,2.7678876450560548e-11,0.0006808471026764757,1.5707887778242238,1.5707775500178813,7.607991514608233e-12,0.0
1.744861316211148e9,-91.66394969813098,-9.00125467663762,1.744861316211178e9,-90.02245510107738,-25.229269855340938,2.0860206110871362e-11,0.0006808471026764757,1.5707887778242815,1.5707775500178813,4.136640766473486e-12,0.0
1.744861316950914e9,-91.6639496981265,-9.001254676639883,1.744861316950944e9,-90.02250014894702,-25.22919764390318,1.7230207601928231e-12,0.00024308296855954332,1.5707887778243608,1.5707774856453895,6.170224378285238e-13,0.0
1.744861317156625e9,-91.6639496981265,-9.001254676640235,1.744861317156661e9,-90.02250014894702,-25.22919764390318,1.2515316760629479e-12,0.00024308296855954332,1.5707887778243619,1.5707774856453895,7.487151381609699e-13,0.0
1.744861317358127e9,-91.6639496981265,-9.001254676640327,1.74486131735819e9,-90.02251723753456,-25.22917025099501,1.3106928992676923e-12,0.0001991890337302227,1.5707887778243625,1.5707775656721588,7.172879140204042e-13,0.0
1.744861317663119e9,-91.6639496981265,-9.001254676640327,1.744861317663145e9,-90.02251723753456,-25.22917025099501,1.0195843560794401e-12,0.0001991890337302227,1.5707887778243634,1.5707775656721588,5.388545536117097e-13,0.0
1.744861317865133e9,-91.6639496981265,-9.001254676640327,1.744861317865173e9,-90.02251723753456,-25.22917025099501,8.389844913349918e-13,0.0001991890337302227,1.570788777824364,1.5707775656721588,4.1203863115087696e-13,0.0
1.744861318274306e9,-91.6639496981265,-9.001254676640327,1.744861318274337e9,-90.02253392104123,-25.22914350742683,5.478887815238378e-13,4.935267652849518e-5,1.5707887778243639,1.5707778826732552,2.0797787482197095e-13,0.0
1.744861318477062e9,-91.6639496981265,-9.001254676640327,1.744861318477104e9,-90.02253392104123,-25.22914350742683,5.56521018767605e-13,4.935267652849518e-5,1.570788777824364,1.5707778826732552,2.09067640438941e-13,0.0
1.744861318780473e9,-91.6639496981265,-9.001254676640327,1.744861318780573e9,-90.02253392104123,-25.22914350742683,5.546303740449393e-13,4.935267652849518e-5,1.5707887778243645,1.5707778826732552,2.081818969428044e-13,0.0
1.74486131898579e9,-91.6639496981265,-9.001254676640327,1.744861318985818e9,-90.02253392104123,-25.22914350742683,5.744552193364819e-13,4.935267652849518e-5,1.570788777824364,1.5707778826732552,2.091624296726072e-13,0.0
1.744861319421106e9,-91.6639496981265,-9.001254676640327,1.744861319421151e9,-90.02253789819461,-25.229137132071514,6.007968763059103e-13,1.580258377754245e-5,1.570788777824364,1.5707779619248812,2.1459552342293352e-13,0.0
1.744861319622365e9,-91.6639496981265,-9.001254676640327,1.744861319622446e9,-90.02254191886543,-25.229130686956818,6.126805057018773e-13,1.0614864323550732e-5,1.5707887778243643,1.5707779733736422,2.1873422806351723e-13,0.0
1.744861319929077e9,-91.6639496981265,-9.001254676640327,1.744861319929102e9,-90.02254191886543,-25.229130686956818,6.110049143190814e-13,1.0614864323550732e-5,1.5707887778243643,1.5707779733736422,2.1402920245644348e-13,0.0
